id,accident_risk
517754,0.29522955
517755,0.12399993
517756,0.1826593
517757,0.33792078
517758,0.4055103
517759,0.46358043
517760,0.2607935
517761,0.1971157
517762,0.35412616
517763,0.32572186
517764,0.07820711
517765,0.19537663
517766,0.30817065
517767,0.26632562
517768,0.1763367
517769,0.31841654
517770,0.3053594
517771,0.3142621
517772,0.0862162
517773,0.24977313
517774,0.3718345
517775,0.606478
517776,0.13086595
517777,0.21515122
517778,0.4078713
517779,0.28052488
517780,0.375965
517781,0.34054238
517782,0.29980788
517783,0.31313485
517784,0.30127305
517785,0.2523394
517786,0.47024468
517787,0.35392815
517788,0.32489437
517789,0.14611952
517790,0.29141414
517791,0.30823907
517792,0.70832187
517793,0.18465407
517794,0.11300635
517795,0.31096384
517796,0.13111126
517797,0.09136654
517798,0.48714548
517799,0.15777928
517800,0.30407932
517801,0.33162448
517802,0.3367935
517803,0.3332698
517804,0.29402745
517805,0.7706851
517806,0.27395824
517807,0.545919
517808,0.41871738
517809,0.2936602
517810,0.5029758
517811,0.41174826
517812,0.35634485
517813,0.60986394
517814,0.5484045
517815,0.03526383
517816,0.5658719
517817,0.16521645
517818,0.56385344
517819,0.58085185
517820,0.31712344
517821,0.16340932
517822,0.04830559
517823,0.19084427
517824,0.1245897
517825,0.35608092
517826,0.29363707
517827,0.5190095
517828,0.59279835
517829,0.4650827
517830,0.66872627
517831,0.19281666
517832,0.1923615
517833,0.3053081
517834,0.41815934
517835,0.31032154
517836,0.36056992
517837,0.3063584
517838,0.37357515
517839,0.63953185
517840,0.41207168
517841,0.11267934
517842,0.40591612
517843,0.49277946
517844,0.12595408
517845,0.19091283
517846,0.4195993
517847,0.11090821
517848,0.48395923
517849,0.36953244
517850,0.15222694
517851,0.1898539
517852,0.10567871
517853,0.5594943
517854,0.316316
517855,0.47692525
517856,0.3285359
517857,0.12627587
517858,0.23864967
517859,0.42888013
517860,0.5086575
517861,0.75497127
517862,0.5037318
517863,0.39095405
517864,0.3017835
517865,0.30912513
517866,0.4775154
517867,0.49332917
517868,0.18253273
517869,0.3058909
517870,0.3561711
517871,0.4485526
517872,0.35026163
517873,0.1407988
517874,0.39522064
517875,0.18435787
517876,0.22485182
517877,0.27323073
517878,0.23928002
517879,0.36435056
517880,0.41124678
517881,0.2787668
517882,0.36400247
517883,0.0866912
517884,0.53262717
517885,0.058564413
517886,0.5001779
517887,0.5672541
517888,0.32566443
517889,0.33356845
517890,0.27822727
517891,0.6455435
517892,0.6170646
517893,0.15184544
517894,0.35982233
517895,0.6070074
517896,0.5709859
517897,0.3010557
517898,0.1351808
517899,0.36696163
517900,0.30743453
517901,0.31838864
517902,0.15865698
517903,0.3090043
517904,0.04126455
517905,0.35849574
517906,0.4518076
517907,0.5743764
517908,0.2918455
517909,0.05420556
517910,0.2275924
517911,0.491472
517912,0.38773885
517913,0.36141616
517914,0.721784
517915,0.15754859
517916,0.5242073
517917,0.33205155
517918,0.3436138
517919,0.55441386
517920,0.1551464
517921,0.3025442
517922,0.4346608
517923,0.7272436
517924,0.31141612
517925,0.3098798
517926,0.14640762
517927,0.6456383
517928,0.2396914
517929,0.44913772
517930,0.26641712
517931,0.3589207
517932,0.32133812
517933,0.3712872
517934,0.65555984
517935,0.17741136
517936,0.6902905
517937,0.31053576
517938,0.47230005
517939,0.47271472
517940,0.41934627
517941,0.46029842
517942,0.32551265
517943,0.30524647
517944,0.041820236
517945,0.30260515
517946,0.09075176
517947,0.4697102
517948,0.5805679
517949,0.31067276
517950,0.12649499
517951,0.34673014
517952,0.34910542
517953,0.39134645
517954,0.30775133
517955,0.4648173
517956,0.24085939
517957,0.34617713
517958,0.66221815
517959,0.22243375
517960,0.12929183
517961,0.6716365
517962,0.3234692
517963,0.13915662
517964,0.5039906
517965,0.34108
517966,0.06722281
517967,0.186747
517968,0.7167992
517969,0.6306531
517970,0.29500273
517971,0.28024602
517972,0.35549426
517973,0.32469475
517974,0.4541264
517975,0.47020093
517976,0.3082507
517977,0.08789769
517978,0.26148015
517979,0.36915585
517980,0.2688964
517981,0.06986134
517982,0.3409259
517983,0.27975762
517984,0.112916954
517985,0.22286198
517986,0.18377376
517987,0.26380333
517988,0.18415694
517989,0.6811995
517990,0.26037017
517991,0.24341415
517992,0.33097467
517993,0.6410119
517994,0.04040245
517995,0.5269389
517996,0.42841476
517997,0.4878727
517998,0.24846515
517999,0.3088478
518000,0.49562967
518001,0.35964426
518002,0.3667373
518003,0.544066
518004,0.47178885
518005,0.28941792
518006,0.35307795
518007,0.43780336
518008,0.16893096
518009,0.4825321
518010,0.67732227
518011,0.46237627
518012,0.2194872
518013,0.41465816
518014,0.36198667
518015,0.04996107
518016,0.18926707
518017,0.3660891
518018,0.46798137
518019,0.36676037
518020,0.6372172
518021,0.14988442
518022,0.39006114
518023,0.39207956
518024,0.12913518
518025,0.11236539
518026,0.19099033
518027,0.5276388
518028,0.34341133
518029,0.254408
518030,0.69382423
518031,0.7107656
518032,0.24357961
518033,0.3537002
518034,0.29415593
518035,0.29847744
518036,0.5055983
518037,0.12975556
518038,0.14518791
518039,0.28999004
518040,0.417113
518041,0.3863494
518042,0.26160568
518043,0.32663894
518044,0.4172281
518045,0.34906107
518046,0.13868125
518047,0.35908243
518048,0.36824697
518049,0.23065923
518050,0.4191043
518051,0.13484399
518052,0.3524761
518053,0.32941067
518054,0.26315102
518055,0.30088124
518056,0.41504487
